seed,epoch,temperature,Z,E,S,F,F_check,err,delta_F,F_data,KL,NLL,data_mass,recon_sq,recon_ce
10,1,2.0,309132.9750246217,-0.3375820774255469,12.472735764482966,-25.283053606391476,-25.28305360639148,3.552713678800501e-15,0.1741477124640589,-12.80018099985864,3.6023789736511604,6.241436303266419,0.027388644503589896,0.4999406755982407,6.240901293436785
10,2,2.0,283354.1894644113,-0.16347594767794518,12.472714973124734,-25.108905893927417,-25.108905893927414,3.552713678800501e-15,-0.03890317885310424,-12.626512036440264,3.6021395991283156,6.241196928743576,0.027348107897295446,0.49992815545806996,6.240548654916559
10,3,2.0,288919.8336472727,-0.2069278336369285,12.4704406195718,-25.14780907278052,-25.14780907278053,7.105427357601002e-15,0.0358223102691575,-12.660889243428477,3.604402585060764,6.2434599146760235,0.027341385783425005,0.4999187905598592,6.242723728685031
10,4,2.0,283791.01433826436,-0.17097290005324334,12.47050693122906,-25.111986762511364,-25.111986762511364,0.0,-0.1650430142870185,-12.625410109958443,3.604230996661201,6.243288326276462,0.02736858626663268,0.49991341711940085,6.242504415255584
10,5,2.0,308203.2936064645,-0.3440018118869663,12.466513982455705,-25.277029776798383,-25.277029776798376,7.105427357601002e-15,0.11489258818929216,-12.782693703578333,3.608110706994765,6.247168036610023,0.027465601334838583,0.4998851970775872,6.246121808577984
10,6,2.0,290997.10402632656,-0.2327674281767937,12.46468488021615,-25.16213718860909,-25.162137188609094,3.552713678800501e-15,0.009108384398832214,-12.664675878443857,3.6096733254673574,6.248730655082616,0.027462116356224704,0.49985925013836197,6.247444880857131
10,7,2.0,289674.86044616706,-0.22077436545577042,12.466127219377245,-25.15302880421026,-25.153028804210262,3.552713678800501e-15,-0.013203408256039495,-12.658033496638211,3.6084403241707643,6.247497653786021,0.02735779973753094,0.4998860442665772,6.246458974656418
10,8,2.0,291593.5344588543,-0.23282090662670374,12.4667056529198,-25.166232212466298,-25.1662322124663,3.552713678800501e-15,0.07931890462163693,-12.672273063302365,3.6079222449667085,6.2469795745819665,0.02735838169676452,0.4998912041581253,6.2459887678083055
10,9,2.0,280255.41251713166,-0.15969826413707294,12.463607521853795,-25.08691330784466,-25.086913307844664,3.552713678800501e-15,-0.008851660957049035,-12.587430423172549,3.6106841127207994,6.249741442336058,0.027358723170653167,0.49986633123685864,6.2485187663602
10,10,2.0,281498.5243355387,-0.1640385216229272,12.465863223589395,-25.09576496880171,-25.095764968801717,7.105427357601002e-15,-0.005114885828749749,-12.600672532959491,3.6084888883058506,6.247546217921109,0.02738407622739685,0.4998734670125613,6.246393594684281
10,11,2.0,282219.36209983635,-0.1733809429604713,12.463749455834993,-25.10087985463046,-25.100879854630456,3.552713678800501e-15,-0.0460072713268147,-12.601699397489961,3.6105328989549923,6.249590228570251,0.027357774243660267,0.4998654514141437,6.248360306230744
10,12,2.0,288786.6799783793,-0.2273758196114645,12.459755653172902,-25.146887125957274,-25.146887125957267,7.105427357601002e-15,0.1376390728002015,-12.639843790026223,3.6144643383502664,6.2535216679655266,0.02732985349512294,0.4998494924765691,6.2521339187509835
10,13,2.0,269580.95843577804,-0.10105371155550316,12.454097170800786,-25.009248053157073,-25.009248053157076,3.552713678800501e-15,0.001470706128003485,-12.491826393210532,3.6196535003580124,6.25871082997327,0.027237122142242002,0.49982287591560265,6.257057278770056
10,14,2.0,269382.7941212931,-0.11096745307318993,12.448404946977936,-25.00777734702907,-25.007777347029062,7.105427357601002e-15,-0.0274395570005197,-12.478889249959812,3.6253867189193687,6.264444048534627,0.027090082406444,0.4998220378366535,6.2627540275138935
10,15,2.0,273104.1360087426,-0.13603152245970418,12.449592690784943,-25.03521690402959,-25.03521690402959,0.0,-0.07668596902577818,-12.50901902917247,3.6240416078132993,6.263098937428558,0.027249293817404003,0.4998002632875878,6.261220304279063
10,16,2.0,283779.11105100164,-0.20991441480108133,12.450994229127144,-25.111902873055367,-25.111902873055367,0.0,0.016870671722674757,-12.58787233959183,3.622957937116513,6.262015266731772,0.027236791849718153,0.4998209276718311,6.260334213105907
