seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-9.207393315056349,-34.81582172330557,4895,-34.6499151427867,-8.520887527073084,32,0.16590658051886464
2,-9.05705172337966,-29.3349834732695,4995,-29.283455277131736,-8.40647989773209,142,0.05152819613776316
3,-9.306011510954551,-29.610602550861604,4986,-29.50647105307624,-8.303314960887242,390,0.10413149778536379
4,-9.1305391886727,-37.67755999066992,4991,-37.60474180712787,-8.42282920923551,354,0.07281818354204717
5,-9.218967036533344,-26.96087203751791,4955,-26.88782502928519,-8.294070733775943,85,0.07304700823272015
6,-9.291621734778367,-29.081029456749476,4991,-28.95618544688108,-8.433249124194615,289,0.12484400986839717
7,-9.11965075823403,-32.84688394131969,4931,-32.61254985861289,-8.38863697931085,346,0.2343340827068019
8,-9.125433577876734,-36.550732954350806,4974,-36.46531692224202,-8.375831093066601,370,0.0854160321087889
9,-9.145773465775989,-38.21742307779742,4975,-38.17146086334969,-8.458153134882748,334,0.04596221444773363
10,-9.117836261507357,-34.60536697843116,4997,-34.518067303460626,-8.435096429085446,342,0.08729967497053082
