sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,0.6414297573329756,0.6581410965643862,-0.1776514961444388
500ep,E,recon_sq,0.624788077710061,0.6459982959931838,-0.05201800142312
500ep,E,recon_ce,0.6303735667762778,0.6462004248016993,-0.13306846319869722
500ep,S,KL,0.9494979543360929,0.966633290533162,-0.4557155689982045
500ep,S,recon_sq,0.9774226412331243,0.9969562598250392,0.47218582546852245
500ep,S,recon_ce,0.9672065691348585,0.9870155640622562,-0.2477281311951217
500ep,F,KL,-0.4989322562606916,-0.566932763731055,-0.14033851364329672
500ep,F,recon_sq,-0.5258392901356789,-0.5836987507950032,-0.10150267732773134
500ep,F,recon_ce,-0.5141974139529558,-0.5758410713642854,-0.1154530481402114
500ep,F_data,KL,-0.27493972123529553,-0.3267572750291001,-0.09551377994266733
500ep,F_data,recon_sq,-0.3075477213094843,-0.3507252109008436,-0.103076013624769
500ep,F_data,recon_ce,-0.29317715464533944,-0.34086851547406183,-0.07292570435010985
5000ep,E,KL,0.8641260480287545,0.9177367742294709,-0.5883981014596028
5000ep,E,recon_sq,0.9568529867396053,0.9993688227747528,0.007643061505013383
5000ep,E,recon_ce,0.9514842364616177,0.9992971599718863,-0.050723645383788006
5000ep,S,KL,0.8276235207057056,0.9087807554552301,-0.8130267131511348
5000ep,S,recon_sq,0.9483982715534075,0.9979899103035963,0.1289810382542739
5000ep,S,recon_ce,0.9379249610856021,0.9977659125346363,-0.15282494921618817
5000ep,F,KL,0.8617542104538858,0.9170368848094753,-0.4682645143293263
5000ep,F,recon_sq,0.9498607173098643,0.9975144047645761,-0.01461134156958902
5000ep,F,recon_ce,0.9452703690239642,0.9975236108769443,-0.01709329543286096
5000ep,F_data,KL,0.8696502175640203,0.9188505735220228,-0.33585742187659823
5000ep,F_data,recon_sq,0.9532280025800433,0.9981473228538928,0.003558543745425606
5000ep,F_data,recon_ce,0.9489395488297838,0.9981241628529665,0.04139409334811514
