seed,window,F_final,slope_per_1000ep,drift_over_window,resid_std,KL_final,KL_min
1,1000,-34.6499151427867,-3.1267979888820676,-3.1267979888820676,0.12869404660956307,1.5942156001123131,1.4992643773262255
1,500,-34.6499151427867,-2.5961502615090146,-1.2980751307545073,0.12568990362304247,1.5942156001123131,1.4992643773262255
2,1000,-29.283455277131736,-2.522999080905959,-2.522999080905959,0.1768708352061436,1.3969421302072924,1.2689385320081743
2,500,-29.283455277131736,-2.1493101885814254,-1.0746550942907127,0.17396844111893592,1.3969421302072924,1.2689385320081743
3,1000,-29.50647105307624,-2.6125618133135995,-2.6125618133135995,0.13432312374263497,1.9982073780979837,1.7671600418561046
3,500,-29.50647105307624,-2.1711690469063827,-1.0855845234531913,0.09917108024899914,1.9982073780979837,1.7671600418561046
4,1000,-37.60474180712787,-3.5327476072992243,-3.5327476072992243,0.11036356892782936,1.3338410641876757,1.2944628216019736
4,500,-37.60474180712787,-3.7571193898214865,-1.8785596949107433,0.09416148211688243,1.3338410641876757,1.2944628216019736
5,1000,-26.88782502928519,-2.661221559876567,-2.661221559876567,0.12261208485917625,1.6838337216061272,1.4840979519708062
5,500,-26.88782502928519,-2.9043931916636887,-1.4521965958318444,0.1082084089787981,1.6838337216061272,1.4840979519708062
6,1000,-28.95618544688108,-2.5154740930119828,-2.5154740930119828,0.16272481654076137,1.6583383169791537,1.5346291989836691
6,500,-28.95618544688108,-2.686214621592425,-1.3431073107962126,0.18401439242095685,1.6583383169791537,1.5346291989836691
7,1000,-32.61254985861289,-2.8199285232013676,-2.8199285232013676,0.19861288101109476,1.3184865491281053,1.2773382231118258
7,500,-32.61254985861289,-2.028078513613698,-1.014039256806849,0.17115986152861534,1.3184865491281053,1.2773382231118258
8,1000,-36.46531692224202,-2.8720108916823297,-2.8720108916823297,0.12834314460239693,1.5140014035285465,1.4951893691379088
8,500,-36.46531692224202,-2.9364982763283063,-1.4682491381641531,0.10872580565271218,1.5140014035285465,1.4951893691379088
9,1000,-38.17146086334969,-3.3399605446389335,-3.3399605446389335,0.10680896763134028,1.4457132204111045,1.419240208948469
9,500,-38.17146086334969,-3.5348155183004404,-1.7674077591502202,0.07787769785587954,1.4457132204111045,1.419240208948469
10,1000,-34.518067303460626,-2.640413564296466,-2.640413564296466,0.1444446491083445,1.7938544761727633,1.635599825447363
10,500,-34.518067303460626,-2.931231758624158,-1.465615879312079,0.10050457711294447,1.7938544761727633,1.635599825447363
