quantity,epoch,n,mean,std,median,q25,q75,min,max,skew,excess_kurtosis,bimodality_coeff,shapiro_p
F,50,50,-5.56505838873548,0.15889436421025158,-5.5568490383443,-5.660723501647691,-5.443721378450711,-5.932960085518427,-5.256187049513041,-0.42142201130847534,-0.3884507186313684,0.4199150507079734,0.3347688530387132
F,100,50,-5.511958780099706,0.15678954521981503,-5.54242805700304,-5.605136144202397,-5.418291736141625,-5.899693784467766,-5.156307941639288,0.3377175068492344,0.00706691041030405,0.348153994789424,0.22537436564687152
F,250,50,-5.429911666339349,0.15049251538270766,-5.419087863145569,-5.551694152428785,-5.302064673998493,-5.791874435360728,-5.202219786451292,-0.4084295922400491,-0.7029490414853554,0.46862474003191434,0.09703068896838814
F,500,50,-5.303242534398311,0.14954106417090235,-5.301114697933064,-5.395170527300495,-5.21163204624534,-5.55546108475584,-4.977404603191698,0.2341337806071894,-0.5279213636840185,0.395819544396375,0.37334594480706246
E,50,50,-0.03775392894708593,0.16257756856716407,-0.03503188985267455,-0.1312656708464185,0.0781977441697507,-0.4172945561558057,0.2493134154651036,-0.5274515416801453,-0.3883546814716592,0.45577511986677977,0.11490878916597236
E,100,50,0.01358689153054279,0.1534024645604087,-0.01597726510425155,-0.07809326832554436,0.10742935329658322,-0.3856839785483151,0.3395268424304095,0.20058709565293506,0.031747284660174735,0.3225969147679522,0.27603072089348724
E,250,50,0.08266932800528731,0.14752005613532754,0.10140472542086129,-0.032751476660052375,0.18873041856086778,-0.3046913036881448,0.2976909042792283,-0.5189836186368265,-0.44271040549210383,0.461561383505049,0.0708233584123473
E,500,50,0.15000618493777554,0.1463401910303883,0.1540232865084052,0.05905911792247942,0.24634196647274462,-0.1149584799612924,0.4564716982078853,0.12031945469103078,-0.5115448021724793,0.37835619932053005,0.6205227936530953
S,50,50,5.527304459788393,0.009724286349941342,5.529338345732104,5.520243149551995,5.534321086074414,5.5042174635818695,5.542086781783467,-0.6777704903235013,-0.19855032061933287,0.48738871531909644,0.019620165913609357
S,100,50,5.525545671630248,0.009339136304970234,5.526473402683433,5.5204232623103175,5.533320762313297,5.495834784069698,5.5389300763969045,-0.8161439439647038,0.8548278721056279,0.4116196221184912,0.024652657971878517
S,250,50,5.512580994344637,0.01109363297995231,5.51525895227093,5.508097367531227,5.5204727805204135,5.477182184011687,5.529946001144589,-1.2886422329093292,1.7761478976914429,0.535443036645466,0.0004262533989058984
S,500,50,5.453248719336086,0.022304859032709796,5.448234662893429,5.435658385808051,5.4704053569137505,5.407431448903185,5.503431578700229,0.30818121805475207,-0.5058732297501818,0.4075168224797893,0.29284051027713465
KL,50,50,0.9934718769447893,0.00898843862857634,0.9908033461383612,0.9866322877600503,0.9997052949321312,0.9809588150358532,1.018726356966806,0.7965996279516724,0.003299010637785482,0.5114238227884016,0.009372677009742862
KL,100,50,0.992612379404707,0.007058554938061665,0.9908639304107064,0.986632656853496,0.9975789824234425,0.9832718309175784,1.007632926104875,0.5503281745968008,-0.7055171885379323,0.5238049583438787,0.008037520899834715
KL,250,50,0.9913500221439788,0.007667835042512732,0.9887734584360708,0.9864288722242835,0.9942952158474339,0.9835208752930276,1.0205187574294543,1.6936389549483963,3.4815454848622043,0.5795926836435344,7.912006216990091e-06
KL,500,50,0.98621973975977,0.0077703259820738075,0.9850158692662128,0.9802951376245731,0.9894415423845413,0.9734465360537378,1.0129189806391925,1.2589749375878148,2.32755938886908,0.46826823120393724,0.0016768664475328373
