seed,window,F_final,slope_per_1000ep,drift_over_window,resid_std,KL_final,KL_min
1,1000,-15.95730662478,-1.5381062150494964,-1.5381062150494964,0.20090032595551174,0.1530536798575196,0.134526925990674
1,500,-15.95730662478,-0.0893326874095609,-0.04466634370478045,0.11838913503709393,0.1530536798575196,0.134526925990674
2,1000,-16.708852344607983,-1.9145502249717294,-1.9145502249717294,0.12493711699392199,0.2241501679023672,0.1514607736841159
2,500,-16.708852344607983,-2.5719181796532142,-1.2859590898266071,0.11805744933502325,0.2241501679023672,0.1514607736841159
3,1000,-17.857514270069913,-2.1032638548201534,-2.1032638548201534,0.07288078390919599,0.1629052647618686,0.1423135383079915
3,500,-17.857514270069913,-2.165749186387879,-1.0828745931939394,0.05005129205386768,0.1629052647618686,0.1423135383079915
4,1000,-16.251939229697008,-2.3796425986821528,-2.3796425986821528,0.054594259979991726,0.1832641197840746,0.1736105016160511
4,500,-16.251939229697008,-2.2985363552613474,-1.1492681776306737,0.03749335210992794,0.1832641197840746,0.1736105016160511
5,1000,-18.25710541760952,-1.8039815891687034,-1.8039815891687034,0.08924728961155003,0.1103180377396551,0.1100644880726586
5,500,-18.25710541760952,-1.522584364449207,-0.7612921822246035,0.0763954037412487,0.1103180377396551,0.1100644880726586
6,1000,-18.27321722734071,-2.1896307668787385,-2.1896307668787385,0.10447415024509002,0.2483052850773135,0.145525635975373
6,500,-18.27321722734071,-2.15505797252043,-1.077528986260215,0.07892657501843604,0.2483052850773135,0.145525635975373
7,1000,-16.720056982121967,-1.916049976772345,-1.916049976772345,0.21176432381245117,0.2083246764045096,0.1761356857188446
7,500,-16.720056982121967,-3.158590136739089,-1.5792950683695446,0.12337532633626148,0.2083246764045096,0.1761356857188446
8,1000,-17.71934390398642,-2.1549732487488766,-2.1549732487488766,0.07830686606300796,0.1674397817155924,0.1474655330048556
8,500,-17.71934390398642,-1.9398206626295902,-0.9699103313147951,0.08013571478726407,0.1674397817155924,0.1474655330048556
9,1000,-14.70912786403428,-1.2327879441189202,-1.2327879441189202,0.13757153132955355,0.132476754957188,0.1040892837437422
9,500,-14.70912786403428,-1.573620471663213,-0.7868102358316065,0.07982507591502118,0.132476754957188,0.1040892837437422
10,1000,-18.38464080902653,-2.1004024418520753,-2.1004024418520753,0.1617307121665787,0.1606398050948834,0.158839040094265
10,500,-18.38464080902653,-1.6655625134737402,-0.8327812567368701,0.0710810298856408,0.1606398050948834,0.158839040094265
