seed,epoch,temperature,Z,E,S,F,F_check,err,delta_F
48,1,1.0,278.45012630944126,-0.09170742608411503,5.537531537567697,-5.629238963651812,-5.629238963651812,0.0,-0.027322567361228067
48,2,1.0,286.1629863991643,-0.12157136742563909,5.534990163587399,-5.65656153101304,-5.656561531013038,1.7763568394002505e-15,0.016027964220023172
48,3,1.0,281.61293770776376,-0.1115368916213717,5.528996675171644,-5.6405335667930165,-5.640533566793016,8.881784197001252e-16,-0.033020507454959436
48,4,1.0,291.06717261091546,-0.1505783747947999,5.522975699453176,-5.673554074247976,-5.673554074247976,0.0,0.04478630282086726
48,5,1.0,278.3189536811449,-0.10888700970513254,5.519880761721977,-5.628767771427109,-5.62876777142711,8.881784197001252e-16,0.041083346775939056
48,6,1.0,267.11637494329057,-0.0597072207007287,5.527977203950441,-5.58768442465117,-5.58768442465117,0.0,-0.018833885498828806
48,7,1.0,272.1948881136635,-0.07564719152369369,5.530871118626305,-5.6065183101499985,-5.6065183101499985,0.0,0.10972765102572613
48,8,1.0,243.90789124445044,0.03963163738472157,5.536422296508993,-5.496790659124272,-5.4967906591242714,8.881784197001252e-16,-0.0315274571519657
48,9,1.0,251.7201907075506,0.0027636901447520837,5.531081806420991,-5.528318116276238,-5.528318116276239,8.881784197001252e-16,0.02493276656069554
48,10,1.0,245.5217037683968,0.02790778545067118,5.531293135166213,-5.5033853497155425,-5.503385349715542,8.881784197001252e-16,-0.0006487098213305842
48,11,1.0,245.68102778091975,0.026369765707134923,5.530403825244008,-5.504034059536873,-5.504034059536873,0.0,0.004809739293595072
48,12,1.0,244.50220327970902,0.03432652901602514,5.533550849259303,-5.499224320243278,-5.499224320243278,0.0,-0.013673943418567092
48,13,1.0,247.8684752281016,0.024809624449692425,5.537707888111538,-5.512898263661845,-5.512898263661846,8.881784197001252e-16,-0.021845788222155882
48,14,1.0,253.34293669085676,0.0046996779509159495,5.539443729834918,-5.534744051884001,-5.534744051884002,8.881784197001252e-16,0.02642112916709749
48,15,1.0,246.7369828998829,0.031381258727282924,5.539704181444186,-5.5083229227169035,-5.5083229227169035,0.0,-0.07528681326573228
48,16,1.0,266.03017334665594,-0.04609100927585797,5.537518726706778,-5.583609735982636,-5.583609735982636,0.0,0.057050663670516144
48,17,1.0,251.2777930379886,0.015462726295780094,5.542021798607899,-5.52655907231212,-5.526559072312119,8.881784197001252e-16,0.02545981663582797
48,18,1.0,244.9610591522341,0.04088758171454211,5.541986837390834,-5.501099255676292,-5.501099255676292,0.0,0.04760713525602789
48,19,1.0,233.5724063371616,0.086474650803259,5.539966771223523,-5.453492120420264,-5.453492120420264,0.0,-0.04841304328162277
48,20,1.0,245.1585548067403,0.03707252420652292,5.53897768790841,-5.5019051637018865,-5.501905163701887,8.881784197001252e-16,-0.04574246269696669
48,21,1.0,256.6331482450668,-0.006972917006412055,5.540674709392441,-5.547647626398853,-5.547647626398853,0.0,0.02204807797159436
48,22,1.0,251.0368016308288,0.013198979027616208,5.538798527454874,-5.525599548427259,-5.525599548427258,8.881784197001252e-16,-0.09394077843285675
48,23,1.0,275.7625934388944,-0.07947146543789077,5.540068861422225,-5.619540326860116,-5.619540326860116,0.0,0.023002596667338615
48,24,1.0,269.4917372145538,-0.05766302564570233,5.538874704547075,-5.596537730192777,-5.596537730192777,0.0,-0.07463175733620986
48,25,1.0,290.37392458029586,-0.13363043428137722,5.53753905324761,-5.671169487528987,-5.671169487528987,0.0,-0.003603401252211036
48,26,1.0,291.4221457903295,-0.13952780126206005,5.535245087519137,-5.674772888781198,-5.674772888781197,8.881784197001252e-16,-0.07703888091731415
48,27,1.0,314.7604173820239,-0.2191158492567725,5.532695920441739,-5.751811769698512,-5.751811769698512,0.0,-0.029474599591584827
48,28,1.0,324.1759322816835,-0.2520739376387843,5.529212431651313,-5.781286369290097,-5.781286369290098,8.881784197001252e-16,0.06461747201230938
48,29,1.0,303.89094311115684,-0.17863470880311355,5.538034188474674,-5.7166688972777875,-5.7166688972777875,0.0,-0.030290526240744242
48,30,1.0,313.23679044531957,-0.21344618083840391,5.533513242680128,-5.746959423518532,-5.746959423518532,0.0,0.02738984277078238
48,31,1.0,304.7737142473649,-0.18432451047865345,5.535245070269095,-5.719569580747749,-5.7195695807477485,8.881784197001252e-16,0.13057266776994858
48,32,1.0,267.4671922386975,-0.049613977217494845,5.539382935760306,-5.588996912977801,-5.588996912977802,8.881784197001252e-16,-0.05581822267980474
48,33,1.0,282.8212678221086,-0.11201088962795536,5.53280424602965,-5.6448151356576055,-5.644815135657605,8.881784197001252e-16,-0.003719317878953632
48,34,1.0,283.87512862686776,-0.11787147207601295,5.530662981460544,-5.648534453536559,-5.648534453536557,1.7763568394002505e-15,0.03651943453649764
48,35,1.0,273.6951837307294,-0.09108600428867253,5.520929014711389,-5.6120150190000615,-5.6120150190000615,0.0,-0.0760505432799281
48,36,1.0,295.32178612705206,-0.16890201332652438,5.519163548953466,-5.68806556227999,-5.68806556227999,0.0,0.09724539877154204
48,37,1.0,267.9552967720872,-0.07246628745447768,5.518353876053969,-5.590820163508448,-5.590820163508447,8.881784197001252e-16,0.011853003263067485
48,38,1.0,264.7979706289094,-0.05369142780317727,5.5252757324422035,-5.57896716024538,-5.578967160245381,8.881784197001252e-16,0.061134109767180256
48,39,1.0,249.09467634401554,-0.0010019965182163125,5.516831053959984,-5.5178330504782,-5.5178330504782,0.0,0.06354814840657319
48,40,1.0,233.75765167502053,0.05656167503155218,5.5108465771031785,-5.454284902071627,-5.454284902071627,0.0,-0.07384266564226216
48,41,1.0,251.6722303566301,-0.018070426310883275,5.510057141403005,-5.528127567713889,-5.528127567713888,8.881784197001252e-16,-0.10548600421811738
48,42,1.0,279.6709048046163,-0.12909938692187037,5.5045141850101365,-5.633613571932006,-5.633613571932007,8.881784197001252e-16,0.06085377112157886
48,43,1.0,263.15936541480175,-0.06111029989328079,5.511649500917148,-5.572759800810427,-5.572759800810429,1.7763568394002505e-15,-0.022534145932692873
48,44,1.0,269.1567562170819,-0.0822129711354013,5.51308097560772,-5.59529394674312,-5.595293946743122,1.7763568394002505e-15,0.017783827662504414
48,45,1.0,264.41243002782795,-0.05398392891716369,5.523526190163452,-5.577510119080616,-5.577510119080615,8.881784197001252e-16,-0.05330343827028994
48,46,1.0,278.8889174920962,-0.11106980415304596,5.51974375319786,-5.630813557350906,-5.630813557350906,0.0,-0.08979484447247543
48,47,1.0,305.0904841101415,-0.19658637203087742,5.524022029792503,-5.720608401823381,-5.72060840182338,8.881784197001252e-16,0.0004301695471458089
48,48,1.0,304.95927169856867,-0.1960601940706887,5.524118038205547,-5.720178232276235,-5.720178232276235,0.0,0.13312472777632944
48,49,1.0,266.94789899263105,-0.05681377944807953,5.5302397250518265,-5.587053504499906,-5.587053504499906,0.0,-0.04549318171319516
48,50,1.0,279.3726870207215,-0.1003664409622721,5.532180245250829,-5.632546686213101,-5.632546686213101,0.0,0.08019149000815773
48,51,1.0,257.8441148234642,-0.016993920519111857,5.535361275685833,-5.552355196204943,-5.552355196204945,1.7763568394002505e-15,-0.07276248212705294
48,52,1.0,277.3049153830203,-0.09071835195586359,5.534399326376132,-5.625117678331996,-5.625117678331995,8.881784197001252e-16,0.008136770078912114
48,53,1.0,275.05770396453056,-0.07845989220726818,5.5385210160458165,-5.616980908253084,-5.616980908253085,8.881784197001252e-16,-0.05310346077328809
48,54,1.0,290.05900535529685,-0.13538544369184985,5.5346989253345225,-5.670084369026372,-5.670084369026372,0.0,0.02833001011692815
48,55,1.0,281.9569384960037,-0.10566090400987702,5.536093454899568,-5.641754358909444,-5.641754358909445,8.881784197001252e-16,0.11854448603647327
48,56,1.0,250.43762133113972,0.009311003451810858,5.5325208763247815,-5.523209872872971,-5.523209872872971,0.0,0.029403766206982596
48,57,1.0,243.1810205794102,0.04123634410247733,5.535042450768467,-5.493806106665988,-5.493806106665989,8.881784197001252e-16,0.09760364335041771
48,58,1.0,220.56721168000058,0.1381012130863068,5.534303676401878,-5.3962024633155705,-5.396202463315571,8.881784197001252e-16,-0.07516020660891254
48,59,1.0,237.78399319055302,0.059200927829515054,5.530563597753997,-5.471362669924483,-5.471362669924482,8.881784197001252e-16,0.04301568102991116
48,60,1.0,227.77242371865864,0.0978123114771729,5.526159300371745,-5.428346988894572,-5.428346988894572,0.0,0.01945950014027975
48,61,1.0,223.3829333653631,0.11371504140899226,5.522602530163285,-5.408887488754292,-5.408887488754292,0.0,0.024557981605322965
48,62,1.0,217.9639118578341,0.13636643718541358,5.520695944334383,-5.384329507148969,-5.384329507148969,0.0,-0.16746418050870826
48,63,1.0,257.69937378959537,-0.03207907369677466,5.519714613960902,-5.5517936876576774,-5.551793687657677,8.881784197001252e-16,0.009211135164625794
48,64,1.0,255.33656878988444,-0.017362087861139002,5.525220464631912,-5.542582552493052,-5.542582552493051,8.881784197001252e-16,0.0002713569113916847
48,65,1.0,255.26729084716158,-0.017678158627167942,5.524633036954492,-5.54231119558166,-5.54231119558166,0.0,0.006051433577382248
48,66,1.0,253.72722230312462,-0.009747037125554095,5.526512724878723,-5.536259762004278,-5.536259762004277,8.881784197001252e-16,-0.04123575905167609
48,67,1.0,264.4085701568268,-0.04739399733843093,5.530101523717523,-5.577495521055954,-5.577495521055954,0.0,-0.03852352642675605
48,68,1.0,274.79326394712524,-0.08042472082658325,5.535594326656127,-5.61601904748271,-5.61601904748271,0.0,-0.021900119518353023
48,69,1.0,280.87765048819864,-0.10143552193712724,5.536483645063935,-5.637919167001063,-5.637919167001062,8.881784197001252e-16,-0.05468649630224043
48,70,1.0,296.6656251445791,-0.1600974459223387,5.532508217380964,-5.692605663303303,-5.692605663303302,8.881784197001252e-16,0.09673888165995148
48,71,1.0,269.31098276963473,-0.06503306224407436,5.530833719399276,-5.595866781643352,-5.59586678164335,1.7763568394002505e-15,0.058256296210204894
48,72,1.0,254.07016916787293,-0.0014398034721256024,5.536170681961022,-5.537610485433147,-5.537610485433148,8.881784197001252e-16,-0.042767045954178684
48,73,1.0,265.1716975299985,-0.041694520268728205,5.5386830111185965,-5.580377531387326,-5.580377531387325,8.881784197001252e-16,0.002265862526987128
48,74,1.0,264.571535116885,-0.03835186424077349,5.539759804619565,-5.5781116688603385,-5.5781116688603385,0.0,-0.011107983232970575
48,75,1.0,267.5267742799036,-0.0588107009252475,5.530408951168061,-5.589219652093309,-5.589219652093309,0.0,0.1007913931473805
48,76,1.0,241.87674033604128,0.04291680598113688,5.5313450649270655,-5.488428258945929,-5.488428258945929,0.0,-0.09572328407939779
48,77,1.0,266.17434942242295,-0.0521546099273431,5.531996933097982,-5.584151543025326,-5.5841515430253255,8.881784197001252e-16,0.02535183542516517
48,78,1.0,259.51116003596655,-0.025924726254232897,5.532874981345929,-5.558799707600161,-5.558799707600161,0.0,0.004118150250269181
48,79,1.0,258.44465161553285,-0.019157044710591868,5.5355245126393005,-5.554681557349892,-5.554681557349892,0.0,-0.07655067051296971
48,80,1.0,279.00570450389455,-0.09892225315172279,5.53230997471114,-5.631232227862862,-5.631232227862863,8.881784197001252e-16,-0.007787829143697245
48,81,1.0,281.18703615493564,-0.11291375817872909,5.5261062988278296,-5.639020057006559,-5.639020057006559,0.0,-0.039304794493197015
48,82,1.0,292.45910692094776,-0.1459469329360414,5.532377918563715,-5.678324851499756,-5.678324851499757,8.881784197001252e-16,-0.0575106375543033
48,83,1.0,309.77167351497746,-0.20976545339104422,5.526070035663016,-5.735835489054059,-5.73583548905406,8.881784197001252e-16,-0.020411009473997765
48,84,1.0,316.1593942280785,-0.22805316308079535,5.528193335447263,-5.756246498528057,-5.756246498528058,8.881784197001252e-16,-0.07872812696294673
48,85,1.0,342.0560544357236,-0.3110882976641185,5.523886327826886,-5.834974625491004,-5.834974625491004,0.0,-0.04924137746236834
48,86,1.0,359.3209509748276,-0.36107098929106113,5.52314501366231,-5.884216002953372,-5.884216002953371,8.881784197001252e-16,-0.061104315370566376
48,87,1.0,381.9616910330734,-0.4313067054835678,5.514013612840371,-5.9453203183239385,-5.9453203183239385,0.0,0.056752410157635325
48,88,1.0,360.88808923973687,-0.3682950822980362,5.520272825868268,-5.888567908166303,-5.888567908166305,1.7763568394002505e-15,0.03048456772143826
48,89,1.0,350.05256903395843,-0.33351953690420905,5.524563803540655,-5.858083340444865,-5.858083340444864,8.881784197001252e-16,-0.03603147273991514
48,90,1.0,362.8954634030289,-0.37748361220236015,5.51663120098242,-5.89411481318478,-5.89411481318478,0.0,-0.00309631518227782
48,91,1.0,364.02084350258684,-0.3830211810761732,5.514189947290884,-5.897211128367058,-5.897211128367057,8.881784197001252e-16,0.03223816707547478
48,92,1.0,352.472625574315,-0.34544916380856316,5.5195237974830205,-5.864972961291583,-5.864972961291584,8.881784197001252e-16,0.0011471277410324277
48,93,1.0,352.06852626863895,-0.34309647722358594,5.5207293563269655,-5.863825833550551,-5.8638258335505515,8.881784197001252e-16,0.06319119164980247
