seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-3.224252508980136,-13.764586582558024,4940,-13.757981132598434,-2.705361981687864,68,0.006605449959590004
2,-3.1057305395747625,-12.900381586578236,4872,-12.851885314545507,-2.727955875600234,37,0.04849627203272888
3,-3.447723622108808,-11.378448879745154,4774,-11.156636429342443,-2.719181468934824,75,0.22181245040271058
4,-3.1117726722536565,-11.623987231922085,4622,-11.429572833341055,-2.746744040550074,74,0.1944143985810296
5,-3.2356261062697333,-13.54244550226787,4940,-13.492439062075324,-2.6604290520767075,49,0.050006440192547075
6,-3.33534276554186,-13.528463407891753,4750,-13.417656461992916,-2.6445194685652798,54,0.11080694589883677
7,-3.2202322000149004,-10.97449717981004,4955,-10.952997845690357,-2.691406837153202,42,0.02149933411968341
8,-3.265554947285968,-13.3561569151225,4883,-13.290904430022538,-2.771249465279313,40,0.06525248509996295
9,-3.0828814401913647,-14.834863704561885,4982,-14.825182810861062,-2.7060076361567087,58,0.009680893700823034
10,-3.377533783740317,-14.352354605729085,4994,-14.352354605729085,-2.69745962199809,59,0.0
