seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-12.595776029621458,-39.33705921969558,4950,-39.22076498938185,-11.421005036478585,450,0.1162942303137342
2,-12.45692866347982,-33.91011670327792,4813,-33.783861946379126,-11.538551183752723,408,0.1262547568987955
3,-12.9532957751576,-34.32220808247196,4993,-34.29754514675697,-11.223129716499432,459,0.024662935714992784
4,-12.560172787224404,-33.9693973717765,4998,-33.96022274697354,-11.138970848183398,430,0.009174624802959386
5,-12.558122769348593,-39.99722509295445,4999,-39.98749328863121,-11.00921945175748,408,0.00973180432324483
6,-12.771026888439051,-38.799907834966405,4986,-38.7148120865231,-11.059029779089183,483,0.08509574844330814
7,-12.566724653431786,-34.4284981488579,4998,-34.4284981488579,-11.43076778516683,354,0.0
8,-12.660719264662292,-36.14605563903204,4966,-36.06966309456871,-11.3072985848721,417,0.07639254446333155
9,-12.50413416638252,-38.01613168483304,4981,-37.79356953418182,-11.342073235561951,297,0.2225621506512212
10,-12.830461981609025,-36.68410963113629,4973,-36.66134117534803,-11.305949154799029,457,0.0227684557882597
