seed,epoch,temperature,Z,E,S,F,F_check,err,delta_F,F_data,KL,NLL,data_mass,recon_sq,recon_ce
31,1,1.0,156876.73541643593,-0.18848938014955297,11.774726271072973,-11.963215651222525,-11.963215651222527,1.7763568394002505e-15,-0.09447617533268371,-5.720258169743501,3.603900151863765,6.242957481479024,0.02737907613854366,0.49979455273941487,6.241105435121557
31,2,1.0,172420.54946743025,-0.2859599835368365,11.771731843018372,-12.057691826555208,-12.057691826555208,0.0,-0.010830704949519543,-5.811527710371349,3.607106786568603,6.246164116183862,0.02745032007658502,0.49981196926872556,6.244467551828271
31,3,1.0,174298.13499938778,-0.30525417943471983,11.763268352070009,-12.068522531504728,-12.068522531504728,0.0,0.1192425313709986,-5.813857452676401,3.615607749213067,6.254665078828326,0.02722475010685315,0.4998074250373762,6.252914328113072
31,4,1.0,154705.718370362,-0.18158675255185552,11.767693247581875,-11.94928000013373,-11.94928000013373,0.0,0.16999212446547673,-5.699272725487414,3.6109499450310563,6.250007274646316,0.02727128290431012,0.4997954027766608,6.24815429580079
31,5,1.0,130520.79943235735,-0.006427283543653767,11.7728605921246,-11.779287875668253,-11.779287875668253,0.0,0.1340753868413742,-5.5362437487825185,3.603986797270474,6.243044126885733,0.027243879470417263,0.499770810972134,6.2409762671207405
31,6,1.0,114143.58915861734,0.12101111298394279,11.766223601810822,-11.645212488826878,-11.645212488826878,0.0,-0.009466869154486801,-5.3984288178776305,3.607726341333989,6.246783670949247,0.027233058509866275,0.49968506247859856,6.243927622223729
31,7,1.0,115229.3026270743,0.11223836160094808,11.766917719582315,-11.654679357981365,-11.654679357981367,1.7763568394002505e-15,-0.005136284476087383,-5.408420056817035,3.6072019715490713,6.24625930116433,0.027218173367507276,0.4996942611677071,6.243485717634707
31,8,1.0,115822.67566721396,0.10110446870876845,11.760920111166222,-11.659815642457453,-11.659815642457453,0.0,0.048179743923343565,-5.407462004566526,3.6132963082756677,6.252353637890926,0.027040814318793106,0.49969467547191304,6.249560713268731
31,9,1.0,110374.66452980858,0.1546879566424686,11.766323855176577,-11.611635898534109,-11.611635898534107,1.7763568394002505e-15,-0.10249206723926108,-5.366350483720899,3.606228085197953,6.245285414813212,0.02727717234267526,0.49967177872018104,6.242311277822433
31,10,1.0,122287.23793910813,0.050224497977929175,11.764352463751298,-11.71412796577337,-11.714127965773368,1.7763568394002505e-15,-0.07351161749354951,-5.464880786878656,3.6101898492794553,6.249247178894714,0.027274556825072255,0.49969820688911876,6.246505733503326
31,11,1.0,131615.43566296442,-0.02310564195855515,11.764533941308361,-11.78763958326692,-11.787639583266916,3.552713678800501e-15,-0.12322905955051233,-5.537481072908689,3.611101180742972,6.250158510358232,0.02725405378890494,0.4997176225788781,6.247589523200636
31,12,1.0,148875.94329878333,-0.15026440239452615,11.760604240422905,-11.910868642817432,-11.910868642817432,0.0,0.10536020492204656,-5.655352925434883,3.6164583877672896,6.25551571738255,0.027236897139304876,0.49973891174139173,6.25312725797386
31,13,1.0,133988.39060388552,-0.0488360613640439,11.75667237653134,-11.805508437895385,-11.805508437895384,1.7763568394002505e-15,0.07663655524713953,-5.547010272685194,3.6194408355949323,6.258498165210191,0.026947352515490422,0.4997263001296204,6.255972056104746
31,14,1.0,124103.5879634998,0.02414297292365382,11.753014855571902,-11.728871882648246,-11.728871882648248,1.7763568394002505e-15,-0.15334753939227674,-5.468218727256052,3.6215958257769345,6.260653155392193,0.026896706283008793,0.4996806356609218,6.257691532312746
31,15,1.0,144671.28126350467,-0.12366939804159319,11.75855002399893,-11.882219422040523,-11.882219422040524,1.7763568394002505e-15,-0.011025037592400366,-5.625503786218518,3.6176583062067444,6.256715635822004,0.02714255865995293,0.49972032197798466,6.254149027388004
31,16,1.0,146275.11248207872,-0.13406298492242585,11.759181474710498,-11.893244459632923,-11.893244459632925,1.7763568394002505e-15,0.17144379834777368,-5.637481370803052,3.616705759214612,6.255763088829871,0.027386540088765635,0.49968668329730687,6.252900814301024
31,17,1.0,123229.11944506392,0.03442598924647949,11.75622665053163,-11.72180066128515,-11.721800661285151,1.7763568394002505e-15,-0.06880237669542488,-5.465711532813965,3.6170317988559253,6.256089128471184,0.027302003260608866,0.4996128515220819,6.252541404200143
31,18,1.0,132006.05054505944,-0.03245295013621494,11.758150087844362,-11.790603037980574,-11.790603037980576,1.7763568394002505e-15,-0.002573759056605951,-5.535030259974918,3.616515448390397,6.255572778005655,0.02728722998936156,0.49965640229046815,6.252436286524897
31,19,1.0,132346.23990811227,-0.031012154312660804,11.762164642724517,-11.79317679703718,-11.793176797037178,1.7763568394002505e-15,-0.10942905622626142,-5.541453094896326,3.612666372525596,6.251723702140853,0.0272692248240357,0.4996769962690815,6.24878863602632
31,20,1.0,147650.88089601893,-0.14287139107748606,11.759734462185953,-11.902605853263442,-11.90260585326344,1.7763568394002505e-15,-0.03500512391700106,-5.6474827728458665,3.6160657508023166,6.255123080417575,0.02735395770133375,0.4996771355557044,6.252183888646598
