sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,-0.021299366228254984,-0.00728441313765255,-0.07805329772740559
500ep,E,recon_sq,-0.4057216808803227,-0.41958220632882537,-0.4053434787250861
500ep,E,recon_ce,-0.10352063843609703,-0.10150816603266413,-0.11984007363619878
500ep,S,KL,-0.8055203437932806,-0.8388681074724298,-0.9623820656411997
500ep,S,recon_sq,0.7358071486148594,0.7326060984243936,0.7315408180388032
500ep,S,recon_ce,-0.6781822263604835,-0.7271576446305785,-0.9432578381005308
500ep,F,KL,-0.0018715283688184455,0.013879735518942077,-0.04959309848289864
500ep,F,recon_sq,-0.4205385696231337,-0.4330249000996004,-0.4250863386292284
500ep,F,recon_ce,-0.08648080532672128,-0.0838813915255661,-0.09159325231347118
500ep,F_data,KL,0.01710008006217613,0.03627230508922036,-0.03557453948280075
500ep,F_data,recon_sq,-0.4254123562231878,-0.43940772563090247,-0.4315253849769689
500ep,F_data,recon_ce,-0.06778802032298883,-0.06646370585482342,-0.07738401069841297
5000ep,E,KL,0.9531389985542796,0.9519982916319316,-0.5093522404895598
5000ep,E,recon_sq,0.9522319036645088,0.9519318338052731,0.29662731772450074
5000ep,E,recon_ce,0.952630088195452,0.950181950871278,-0.021221712987427657
5000ep,S,KL,0.9886886092652676,0.9917351450134058,-0.627528073457759
5000ep,S,recon_sq,0.9962587216532236,0.9986358325054332,0.34314623994705157
5000ep,S,recon_ce,0.9921343547700378,0.9953481214779247,-0.09352474822774946
5000ep,F,KL,0.5043882618230994,0.52978599919144,-0.4610589960430215
5000ep,F,recon_sq,0.5021335505119895,0.5258850969714038,0.28140005749848085
5000ep,F,recon_ce,0.5035543378701258,0.5274391673055667,-0.0026833537290735896
5000ep,F_data,KL,0.6043430143285533,0.6158103605844143,-0.42242266057158623
5000ep,F_data,recon_sq,0.6016168304567748,0.6150792906991716,0.2979483359977053
5000ep,F_data,recon_ce,0.6033198342838879,0.6147653442386136,0.030873168763679737
