seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-12.019330004292597,-37.07082723804114,4969,-37.05094920069956,-10.85144617983048,380,0.019878037341577226
2,-11.92928136571293,-35.76713077315955,4921,-35.5170842329987,-10.641078571899689,392,0.25004654016085226
3,-12.316568701046316,-30.98412386550157,4991,-30.974184338566875,-10.639578491323077,429,0.009939526934694243
4,-11.989394492153917,-37.24593643032157,4982,-36.98344661956271,-10.544153879736069,426,0.2624898107588578
5,-12.017209417633032,-39.42988112802844,4989,-39.370817243202936,-10.47965151280158,383,0.0590638848255054
6,-12.180518530491602,-39.85167185057042,4981,-39.69416339963026,-10.54308183922024,440,0.1575084509401563
7,-11.97129288361322,-32.812124121584965,5000,-32.812124121584965,-10.816333645881508,406,0.0
8,-11.929365707622305,-36.03606998563325,4997,-35.96678276881693,-10.722084432022466,343,0.06928721681632055
9,-11.84103870628896,-32.80366187681075,4956,-32.80289612278475,-10.80212008159293,461,0.000765754025998433
10,-11.78701875803111,-36.773773757378144,4674,-36.67611564052357,-10.760393290444952,352,0.09765811685457493
