sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,0.631833183217397,0.6369208356833427,-0.23836238229387582
500ep,E,recon_sq,0.6305074809727159,0.6389768279073116,0.19580790914449459
500ep,E,recon_ce,0.6306583391192613,0.6322965931863727,-0.11304613655891595
500ep,S,KL,0.9543336636381657,0.9633748934995738,-0.47209048448863594
500ep,S,recon_sq,0.9881492581283668,0.9950827643310574,0.5572276072263291
500ep,S,recon_ce,0.9748444990747591,0.9826130824523298,-0.25189360898200486
500ep,F,KL,-0.7568560491477377,-0.7782760731042924,-0.1961872421334005
500ep,F,recon_sq,-0.7692147314538476,-0.7825921543686174,0.13276466705970144
500ep,F,recon_ce,-0.7637319475492672,-0.7847262909051635,-0.09400647419958848
500ep,F_data,KL,-0.5695807966937293,-0.6239460957843831,-0.14236800696407415
500ep,F_data,recon_sq,-0.5877669829804912,-0.6403696014784058,0.13151580697142778
500ep,F_data,recon_ce,-0.5789619777455391,-0.634565898263593,-0.04168389307560873
5000ep,E,KL,0.8154784607968435,0.9070880538706902,-0.722712717055516
5000ep,E,recon_sq,0.9313797445549162,0.9988906723107747,0.07807376162824683
5000ep,E,recon_ce,0.9313241534933111,0.9988785292218789,-0.08187824113327681
5000ep,S,KL,0.8814100438442293,0.8922994079888429,-0.7986084759138995
5000ep,S,recon_sq,0.990504397107808,0.996412193113319,0.047759299943560596
5000ep,S,recon_ce,0.9902792859995618,0.9963885701038282,-0.15490313937268457
5000ep,F,KL,0.8002284844918196,0.9063213505990566,-0.6412531556527538
5000ep,F,recon_sq,0.9137184168604754,0.9968824211285765,0.09797618498328647
5000ep,F,recon_ce,0.9137023243553128,0.9968708553839509,-0.04982550986367396
5000ep,F_data,KL,0.8091956889978673,0.9098600731271509,-0.5189758094269039
5000ep,F_data,recon_sq,0.9188453897266164,0.9977397244107431,0.15219280111826017
5000ep,F_data,recon_ce,0.9188535005886379,0.9977338897224534,0.02350806095764096
