seed,window,F_final,slope_per_1000ep,drift_over_window,resid_std,KL_final,KL_min
1,1000,-37.05094920069956,-2.3795363466925856,-2.3795363466925856,0.11553517953803455,0.5820483594971245,0.417580932615153
1,500,-37.05094920069956,-1.8461198717481688,-0.9230599358740844,0.09634925982270919,0.5820483594971245,0.417580932615153
2,1000,-35.5170842329987,-2.0308111260012645,-2.0308111260012645,0.16203090330711006,0.4883669121707346,0.4550623975983178
2,500,-35.5170842329987,-2.6801440477290663,-1.3400720238645332,0.11009570574750137,0.4883669121707346,0.4550623975983178
3,1000,-30.974184338566875,-1.8613416138140122,-1.8613416138140122,0.14090891758484736,0.5939130738859907,0.3711306397027606
3,500,-30.974184338566875,-2.219268763929992,-1.109634381964996,0.1436351537959434,0.5939130738859907,0.3711306397027606
4,1000,-36.98344661956271,-2.9432730852364295,-2.9432730852364295,0.14041772149114903,0.6285230427062657,0.4842811188641204
4,500,-36.98344661956271,-2.7353595687752454,-1.3676797843876227,0.14893790256203765,0.6285230427062657,0.4842811188641204
5,1000,-39.370817243202936,-3.2685954899635297,-3.2685954899635297,0.1605844440323564,0.7075419473433199,0.5614029016113502
5,500,-39.370817243202936,-3.025810056787969,-1.5129050283939844,0.18337134104039862,0.7075419473433199,0.5614029016113502
6,1000,-39.69416339963026,-2.589930135652498,-2.589930135652498,0.1649516805793887,0.8557022132801423,0.7968235748595804
6,500,-39.69416339963026,-3.076967463024532,-1.538483731512266,0.16914311500030033,0.8557022132801423,0.7968235748595804
7,1000,-32.812124121584965,-2.1870794300211145,-2.1870794300211145,0.14009109125044153,0.6354121291802459,0.4604887683908004
7,500,-32.812124121584965,-2.463233054025403,-1.2316165270127015,0.1423948898134156,0.6354121291802459,0.4604887683908004
8,1000,-35.96678276881693,-2.343253656894209,-2.343253656894209,0.12161351384702843,0.7481812519350345,0.5944114782528794
8,500,-35.96678276881693,-2.550864753899451,-1.2754323769497256,0.09734077665558928,0.7481812519350345,0.5944114782528794
9,1000,-32.80289612278475,-1.7591287891624603,-1.7591287891624603,0.13436888650693063,0.7143498544676289,0.6619814151598481
9,500,-32.80289612278475,-1.474511306802775,-0.7372556534013875,0.12915901834898835,0.7143498544676289,0.6619814151598481
10,1000,-36.67611564052357,-2.2720406228601906,-2.2720406228601906,0.2251482782293,0.6255072527901301,0.3943032537202323
10,500,-36.67611564052357,-0.6460460180939611,-0.32302300904698056,0.1456831339572939,0.6255072527901301,0.3943032537202323
