quantity,epoch,n,mean,std,median,q25,q75,min,max,skew,excess_kurtosis,bimodality_coeff,shapiro_p
F,50,50,-11.739908165880308,0.21748373264917933,-11.754222083398567,-11.90586646465767,-11.605487459835295,-12.160815941101973,-11.33213105923799,0.2090486915186293,-0.8663469098838448,0.44861973330521954,0.09068395265146684
F,100,50,-11.678244168931252,0.19411517403575945,-11.70496299202355,-11.814744260193002,-11.523499164952737,-12.13894611134491,-11.156674521606703,0.23610718353056753,-0.03636581626791946,0.33447242548720996,0.45976369563236874
F,250,50,-11.359416553457718,0.21445695985135904,-11.359908865168684,-11.544261719237586,-11.215663135599222,-11.7364862395957,-10.787060733130462,0.26878388719183277,-0.4434505982925643,0.38999674225667114,0.25646092646463325
F,500,50,-11.220095492442443,0.24376460526996785,-11.230167896871038,-11.365422898246194,-11.12156160905425,-11.7667343589572,-10.592731373844751,0.4510509594230282,0.3754806906196846,0.33726060648149647,0.3085121367139374
E,50,50,0.007304244201521779,0.2125426047471478,0.0048407994998690505,-0.1491891360902671,0.1462885710659163,-0.4227183132758035,0.4053943291661558,0.13990811651706536,-0.8498945423132938,0.43517161336957444,0.13101036859048149
E,100,50,0.04641024743892685,0.19299914471321247,0.02746373311380315,-0.08094731610408773,0.1829785382496041,-0.4545692959535752,0.5552588432578733,0.08822655080059988,0.1735246480466417,0.2993704698757827,0.6798432412924091
E,250,50,0.012705744808797971,0.22074371513013977,0.029257106805067552,-0.16674379188564092,0.17334222850758363,-0.4119857666699694,0.5801457985728573,0.16534882413359378,-0.2911961907217737,0.35405710818974484,0.5796271120266792
E,500,50,-0.9240214522972832,0.3402774643364182,-0.9198113771511853,-1.084965185652432,-0.7708697813724641,-1.920546592973332,-0.0801577647778078,-0.03501015630725027,0.9393749134315681,0.24229881170463666,0.44690881441324665
S,50,50,11.74721241008183,0.013047034771484134,11.748874176132997,11.737527074145206,11.755482449350415,11.719464538987909,11.772818264446444,-0.17585314615201572,-0.6039290352198141,0.3982109258131735,0.5961823371744772
S,100,50,11.724654416370178,0.018230599977672474,11.723635481762981,11.71373481913498,11.73937191150062,11.684149890409277,11.757379793673836,-0.5140364624267573,-0.37623791559117814,0.44885390477547216,0.066502278007005
S,250,50,11.372122298266515,0.1057333279650665,11.379147665917483,11.277860921693096,11.468402261756783,11.093679569862172,11.54670517083142,-0.4346854913286147,-0.5122011458014923,0.4435363319134825,0.09707793175377247
S,500,50,10.29607404014516,0.17815663674910878,10.296210684664313,10.185908530963628,10.388945302404352,9.846187765983869,10.732566272437792,0.09527389455314826,0.7976067728678551,0.25287453889812656,0.5269329254355055
KL,50,50,3.6162520230587005,0.009129216800111572,3.6148549276721518,3.60928550580138,3.621720618843314,3.598982695611445,3.635271383316281,0.3685110181998134,-0.6405017806976732,0.4450074997211437,0.2046963130311284
KL,100,50,3.6120467594694183,0.009977840468802663,3.6096510285875416,3.605196114979676,3.6174534705342323,3.5980759842692853,3.638890147686684,0.9072411032242305,0.22450019091415774,0.5334843595446267,0.004559037705606276
KL,250,50,3.5616995684416795,0.013327104228842061,3.562308798727007,3.552712886983036,3.569824962738507,3.531897616920513,3.584900964270259,-0.283355682440217,-0.5564464092539225,0.40976392545363843,0.23815361443877586
KL,500,50,3.3206009105264025,0.040226872921918684,3.3186217326225274,3.2882344011434457,3.3455390216150707,3.228749396300114,3.402583887424759,0.26785424224761023,-0.3653151869704483,0.3790431099325315,0.3541326709883888
