seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap,ar1_phi,null_gap_median,null_gap_p05,null_gap_p95,gap_percentile_in_null,null_epoch_of_min_median
1,-12.019330004292597,-12.21038972778588,39,-10.979894273469831,-10.85144617983048,380,1.2304954543160491,0.8852655060773502,0.9128090428888607,0.6037966279375503,1.2180667066420576,0.956,15.0
2,-11.92928136571293,-12.156228204100216,38,-11.579711624092656,-10.641078571899689,392,0.57651658000756,0.9249196530461811,0.9406625686015699,0.5325999508381829,1.3283044019948718,0.065,51.0
3,-12.316568701046316,-12.36485022148706,3,-11.103518086442543,-10.639578491323077,429,1.2613321350445172,0.9204764525166473,1.1391105583275962,0.7852926262980607,1.5128966762354863,0.704,1.0
4,-11.989394492153917,-12.25616677177752,5,-11.152893258416954,-10.544153879736069,426,1.1032735133605662,0.933337198260314,0.8728836254584236,0.5536930901353849,1.240093524535829,0.8595,22.0
5,-12.017209417633032,-12.017209417633032,1,-11.145397374854287,-10.47965151280158,383,0.8718120427787444,0.9190215807933623,0.9134458213293302,0.5624055273463082,1.2772540450459249,0.4225,22.0
6,-12.180518530491602,-12.192702689765476,2,-10.73484241423895,-10.54308183922024,440,1.4578602755265262,0.926201424253021,1.0186802817867857,0.6885334040664018,1.3726599119607057,0.9825,2.0
7,-11.97129288361322,-12.029059362960371,7,-11.7667343589572,-10.816333645881508,406,0.2623250040031717,0.8948280731974275,0.9193457863184511,0.5752239812742224,1.2684268122220057,0.0015,36.5
8,-11.929365707622305,-12.03335382938387,16,-11.220336228867474,-10.722084432022466,343,0.813017600516396,0.906243851977396,0.838314543062749,0.5526586399171405,1.148793080475172,0.435,32.0
9,-11.84103870628896,-12.22839110549536,28,-11.304293150906831,-10.80212008159293,461,0.9240979545885288,0.8868736646873809,0.8573576203352982,0.5452889593062329,1.1839722619869268,0.643,47.0
10,-11.78701875803111,-12.199329233715664,21,-11.259908390868937,-10.760393290444952,352,0.9394208428467277,0.9160295719313192,0.8096254688763258,0.5189097113940381,1.1454569491624118,0.735,53.0
11,-12.036838498256914,-12.084267448458938,44,-11.43369613845502,-10.614143471242924,350,0.6505713100039188,0.9052519378015293,0.9398996429281077,0.6006116398270382,1.2963072039950234,0.083,22.0
12,-12.179397393688063,-12.297392748330244,19,-11.189547655482022,-10.656703295361522,444,1.1078450928482226,0.9163221582721071,1.0130189733574602,0.6902049789162931,1.3470774516387183,0.6875,2.0
13,-11.984324985440146,-12.058837094828442,59,-11.13809260748762,-10.721381707361704,435,0.9207444873408228,0.8545583910005232,0.8727538284713532,0.5870970626013121,1.163370278263904,0.607,18.0
14,-12.010809857608717,-12.19616235269262,85,-11.418818313332896,-10.765279111721249,263,0.7773440393597237,0.9105368086168645,0.9528859149629527,0.5895248665220459,1.3505932420856226,0.231,31.0
15,-11.765132893513988,-12.174541741458125,66,-11.13294445796061,-10.643361159660255,412,1.0415972834975147,0.874377385435663,0.8499570029941292,0.5355252844579684,1.1467957794303225,0.853,49.0
16,-12.15282129346338,-12.370360306505376,8,-11.086001381014354,-10.713077358199111,408,1.2843589254910217,0.8723323817086713,0.9626266646052901,0.678414485367242,1.237262278305067,0.977,2.0
17,-12.053441235000156,-12.28363152325983,144,-11.23366528405261,-10.855342373042332,449,1.0499662392072207,0.9304955604890784,0.9513411526929518,0.570383886279355,1.3319074902184111,0.66,20.0
18,-12.04926884026653,-12.157307700781434,43,-11.593800755162563,-10.755025794596362,422,0.5635069456188706,0.9086352672507488,0.9361029023484786,0.5979760145472619,1.305239657895942,0.0325,11.0
19,-12.072325032001949,-12.157323782614124,10,-11.370037435089506,-10.429741001159837,350,0.7872863475246188,0.9150504329855977,0.9729530899773717,0.591721725803315,1.3505196006108717,0.217,15.0
20,-11.97590407210823,-12.264198062273213,20,-11.24970946523102,-10.823429605149562,397,1.0144885970421935,0.9166457995319001,0.8944889920916346,0.5607757841459777,1.259762688406467,0.709,29.0
21,-11.92068674860642,-12.087662817561409,7,-11.117767326085463,-10.764174953483788,470,0.9698954914759454,0.812410305615786,0.8240681660429834,0.5850889605456565,1.0672428028957077,0.8285,18.0
22,-11.949024293935963,-12.232577075174106,57,-11.44886500110204,-10.835846741860134,348,0.7837120740720653,0.9051109006148367,0.8976599111914947,0.5438003768611078,1.241959849935998,0.2935,40.0
23,-12.023965834581793,-12.230261728268443,8,-11.482843370766709,-10.794311908287115,396,0.7474183575017346,0.9127273980156481,0.9154305299387175,0.5884834464968768,1.2457505754030396,0.2005,18.0
24,-12.116281386097302,-12.287027082642435,36,-11.440286123683844,-10.703413643675518,355,0.8467409589585912,0.9065540656998207,0.9759855319463622,0.6283783664744057,1.3241510099099743,0.279,5.0
25,-12.111793018824,-12.258301679953137,3,-11.351579287716262,-10.915538063786135,335,0.9067223922368743,0.8622585155657717,0.9471999173665173,0.6461479978301772,1.2642714736417993,0.408,3.0
26,-11.764570308712626,-12.121118362500166,55,-11.221824308067054,-10.655920585214371,371,0.8992940544331116,0.9192386781810447,0.8788045063621901,0.5025579907879549,1.2311215527922836,0.536,63.0
27,-11.99155131069574,-12.199527471828327,70,-11.026058592340968,-10.750513074989824,319,1.1734688794873591,0.8981536131166368,0.9084737711421527,0.5851513240267858,1.2480883737950819,0.8965,23.0
28,-11.96308640147671,-12.095600084794802,2,-11.17594260314968,-10.52051809700088,349,0.9196574816451211,0.8850650099159609,0.8743333365526667,0.5802646130121516,1.2026125141923434,0.5925,24.0
29,-12.00023129926258,-12.13895490468935,39,-10.737357489409003,-10.70672799085184,499,1.4015974152803459,0.8880407728184301,0.8921062427803639,0.5834164979128629,1.2134389373956718,0.996,17.0
30,-11.978280308581647,-11.978280308581647,1,-10.72444115533068,-10.43325555768902,493,1.2538391532509667,0.9187383588189642,0.9285027717488203,0.5475520648177692,1.318570706138033,0.918,38.0
31,-11.963215651222525,-12.068522531504728,3,-10.592731373844751,-10.592731373844751,500,1.4757911576599767,0.8808536822528599,0.8789164968141732,0.5853832531708649,1.197194434823803,0.9995,23.0
32,-12.059276828252342,-12.20816636230623,63,-11.347744407511462,-10.81278861117534,446,0.8604219547947682,0.9070442790202955,0.9428605395869285,0.6064917858705502,1.3197780985026186,0.3465,14.0
33,-12.06010017229132,-12.10518681648368,51,-11.243030000908329,-10.834647560002267,382,0.8621568155753518,0.9074193287139355,0.904207255843593,0.5997719640248679,1.1955866618146591,0.4095,4.0
34,-11.880999389121408,-12.075793731961603,13,-11.56238488535057,-10.803598030151782,363,0.5134088466110338,0.8652534349413911,0.8768361035868875,0.5643591719164277,1.1790228305688788,0.0275,39.0
35,-12.205124795024926,-12.205124795024926,1,-11.17105718033498,-10.559125200129513,384,1.0340676146899455,0.8942759588503758,1.0285765480165807,0.7153589154372869,1.35752716271505,0.512,2.0
36,-11.987689586090733,-12.011443407567189,27,-11.323608070408971,-10.88704535346204,390,0.6878353371582175,0.9422875820999025,0.8871236809030556,0.5147876415455735,1.2757117802086315,0.1815,30.0
37,-12.001874538211682,-12.001874538211682,1,-11.339606721432874,-10.716540354142165,248,0.6622678167788081,0.9162813323574813,0.9102762710429939,0.5831644211677636,1.2475419289305847,0.106,22.0
38,-12.001934587436937,-12.001934587436937,1,-11.437488201327294,-11.041065234004826,340,0.5644463861096423,0.9330158907013728,0.9152934043380458,0.5619619669381752,1.257686297224725,0.0515,24.0
39,-12.023367498575086,-12.074653529771911,2,-10.896009374066466,-10.692592487796412,453,1.1786441557054452,0.8803235732880065,0.8690175447183357,0.6001025733016162,1.1407920625223322,0.969,5.0
40,-11.94226816277544,-12.049539293320882,77,-11.329861889627995,-10.585786127616066,417,0.7196774036928861,0.9029602976678767,0.8678177344499316,0.5422824439653844,1.2106692127732555,0.2235,34.0
41,-11.980758784466008,-11.984564241744469,135,-11.139919925811787,-10.239024392036134,479,0.8446443159326815,0.9353155719770365,0.9477217826028275,0.5475478827814533,1.3542824873906285,0.351,47.0
42,-12.060311964626536,-12.18014755409118,5,-11.406508784073411,-10.863359851369184,327,0.7736387700177687,0.9198711165648652,0.9173957214567725,0.6114882695954496,1.2273377997855972,0.2155,5.0
43,-11.970738720770449,-12.089194019315084,23,-10.906175449451432,-10.567317287989397,303,1.183018569863652,0.8722784275250015,0.8904282893285291,0.5834250007256727,1.2122329615997218,0.9295,23.0
44,-11.897200017620284,-12.133670852171422,30,-11.202143356281711,-10.648435383378708,467,0.9315274958897106,0.8933262747868114,0.8814296750484205,0.5313120760668778,1.2316093683448917,0.598,46.0
45,-12.065843034610936,-12.276852499143285,2,-11.253262440889287,-10.832488244953172,405,1.0235900582539976,0.9249573072283644,0.9451990641042958,0.5889632146752133,1.331512537463484,0.638,12.0
46,-11.883252460020993,-12.08788422296787,30,-11.307469468105218,-10.918207605755445,439,0.7804147548626528,0.8913761953960381,0.8386327122435526,0.5429160951694464,1.1250392366273796,0.376,45.0
47,-12.078569134518416,-12.283599295487502,29,-10.846205924901968,-10.57020424367716,429,1.437393370585534,0.9135836753895187,0.9737035128712526,0.6115122560055672,1.3342029867225966,0.9795,10.0
48,-11.860753613536888,-12.310655347054997,58,-11.226670509689466,-10.749556200587838,354,1.0839848373655308,0.9180354440568151,0.8674730284482468,0.5178970693197686,1.216632668103376,0.8485,52.0
49,-11.936192097726622,-12.116528506359495,4,-11.070977693641316,-10.773203172794672,319,1.0455508127181794,0.9294694344323701,0.883901452272946,0.5210619136901464,1.2618432589036919,0.7695,46.0
50,-11.945198139268902,-12.153473879409876,143,-11.58111105242717,-10.703119086919806,434,0.5723628269827064,0.8792838343253905,0.872270289606119,0.5788950059836886,1.1806762393519998,0.0445,24.0
