sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,0.9597499115999838,0.9632990051960209,-0.44835199264719583
500ep,E,recon_sq,0.9628291159348946,0.9659824079296317,0.06975399811598972
500ep,E,recon_ce,0.9622898890596638,0.9655724862899451,-0.21103991472286032
500ep,S,KL,0.9849347825195116,0.989572870291481,-0.6040343720864829
500ep,S,recon_sq,0.9906010716608658,0.9949187956751827,0.02689109578828874
500ep,S,recon_ce,0.9891560033247296,0.9942657530630123,-0.33640460257216176
500ep,F,KL,0.8126211276656339,0.8209535718142871,-0.36291155228822747
500ep,F,recon_sq,0.814289980757328,0.8211408205632822,0.09836121097994076
500ep,F,recon_ce,0.8144051748285522,0.8215144540578162,-0.14814572585702074
500ep,F_data,KL,0.8675702527237924,0.8756771027084107,-0.242098396855066
500ep,F_data,recon_sq,0.8679091481749587,0.8732815091260364,0.16664785882458377
500ep,F_data,recon_ce,0.8684110158828977,0.8738581354325418,-0.038214456499616196
5000ep,E,KL,0.3977640562965645,0.5240951542244261,-0.7168430365092973
5000ep,E,recon_sq,0.8695799630537098,0.9968197414307463,0.04083256142282455
5000ep,E,recon_ce,0.8715653354161192,0.9967645597888801,-0.12308347350968617
5000ep,S,KL,0.4071605490685266,0.431674021464846,-0.7956613818993645
5000ep,S,recon_sq,0.9341870850432078,0.9636673866258103,-0.06018400852838552
5000ep,S,recon_ce,0.9354447553312064,0.9635518632378606,-0.235073202458696
5000ep,F,KL,0.3967465877711726,0.5354839820009615,-0.6186431140458886
5000ep,F,recon_sq,0.8571401646567793,0.998037073983383,0.09035101233354195
5000ep,F,recon_ce,0.8591365839190446,0.9979997526682035,-0.06755478933748923
5000ep,F_data,KL,0.40935255792341374,0.5529812875070321,-0.45364678639640565
5000ep,F_data,recon_sq,0.861361274905785,0.9990116925295901,0.18689591387407045
5000ep,F_data,recon_ce,0.8633689574767709,0.9989769347581042,0.04479975726776585
