seed,window,F_final,slope_per_1000ep,drift_over_window,resid_std,KL_final,KL_min
1,1000,-22.482290089470187,-0.9976219019028473,-0.9976219019028473,0.09823614221166521,0.5643969629233057,0.3959708322084405
1,500,-22.482290089470187,-0.4236787271118048,-0.2118393635559024,0.08187809931915097,0.5643969629233057,0.3959708322084405
2,1000,-20.00943046710953,-0.5012048531284714,-0.5012048531284714,0.08589599498793934,0.5847425495910932,0.4036241817226589
2,500,-20.00943046710953,-0.6386983407536589,-0.31934917037682947,0.0831429957740986,0.5847425495910932,0.4036241817226589
3,1000,-19.67046492881549,-0.9407117715834166,-0.9407117715834166,0.11641236465545214,0.5756377529733027,0.3290983573996865
3,500,-19.67046492881549,-1.2743163902202783,-0.6371581951101392,0.07082923697206334,0.5756377529733027,0.3290983573996865
4,1000,-20.94216873805652,-0.9495875085971431,-0.9495875085971431,0.10867296440877511,0.5262890181900067,0.3251769001378304
4,500,-20.94216873805652,-0.7184692950882771,-0.35923464754413853,0.04846516888078411,0.5262890181900067,0.3251769001378304
5,1000,-23.5340129077538,-1.186937138237374,-1.186937138237374,0.14377156366449786,0.6759684677221749,0.5300894548958074
5,500,-23.5340129077538,-1.4028968618882731,-0.7014484309441366,0.07977708163959532,0.6759684677221749,0.5300894548958074
6,1000,-23.51600025681261,-1.17545551925703,-1.17545551925703,0.08141066771301185,0.9255903271530036,0.4913884913580751
6,500,-23.51600025681261,-1.1101114926259315,-0.5550557463129657,0.054764241524395935,0.9255903271530036,0.4913884913580751
7,1000,-20.222055653715845,-0.5446001341057695,-0.5446001341057695,0.14548240764742956,0.4562466790924573,0.3931474960078281
7,500,-20.222055653715845,-0.02259228674381824,-0.01129614337190912,0.08817914371205722,0.4562466790924573,0.3931474960078281
8,1000,-21.34890393145516,-0.5864257457357543,-0.5864257457357543,0.08564945903171653,0.4673393389051433,0.2923707381406356
8,500,-21.34890393145516,-0.07619755515778877,-0.038098777578894384,0.06571037106639054,0.4673393389051433,0.2923707381406356
9,1000,-22.46470146663705,-0.8069037226352178,-0.8069037226352178,0.08468237943528921,0.752676058905586,0.367041828624805
9,500,-22.46470146663705,-0.5700251818795364,-0.2850125909397682,0.07900804034857684,0.752676058905586,0.367041828624805
10,1000,-24.13064509523332,-0.9147050843978549,-0.9147050843978549,0.10846724679871118,0.723373202918023,0.4856513902534054
10,500,-24.13064509523332,-0.8940119539707672,-0.4470059769853836,0.08971779079039492,0.723373202918023,0.4856513902534054
