quantity,epoch,n,mean,std,median,q25,q75,min,max,skew,excess_kurtosis,bimodality_coeff,shapiro_p
F,50,50,-24.91458297944889,0.24754511850747343,-24.903257210845616,-25.038973890133974,-24.767167459001197,-25.543725381673205,-24.367984124478028,-0.3115386404555403,0.29639228060417766,0.31441382864018863,0.7584476854102566
F,100,50,-24.916610097077797,0.28297512419132137,-24.885201146198895,-25.09259988627464,-24.707860819274998,-25.49914214124281,-24.43489956403357,-0.36051828713379275,-0.5457716569588618,0.42688068075190033,0.1948630122834924
F,250,50,-24.797662624289714,0.25138219666353906,-24.81354125715139,-24.930334427635533,-24.587189686705848,-25.52214055524044,-24.19030535332393,-0.12370792941876638,0.489630410138016,0.2757142047741554,0.6447258034186666
F,500,50,-24.469942132088928,0.2803539978102581,-24.500778210594973,-24.670045835591687,-24.282675840965478,-24.97999997813476,-23.804987553824148,0.2777106411624342,-0.48570572583870275,0.39788624703519465,0.6921679911996375
E,50,50,0.014612058557526309,0.24398414285506373,0.0285515084567881,-0.11495750353848849,0.14886305309780792,-0.6151458908041486,0.5491633278094173,-0.3836642082448005,0.3385957478699315,0.3248551241389574,0.5821445759497738
E,100,50,0.006255946086931396,0.28274336954488244,0.04177549028431245,-0.16527831079590782,0.2125816255336893,-0.5865528999132362,0.4928826368443111,-0.4089123563245771,-0.48147386064415887,0.4304908416479081,0.18654859117363187
E,250,50,0.10336969335476354,0.2478590092095425,0.09328172685237959,-0.030851705028109,0.3168770848164808,-0.6596420934095417,0.6825256441559493,-0.30107831571659377,0.8370832038553604,0.2706388534300947,0.43815994343128833
E,500,50,0.15097756685140312,0.30012607576713557,0.0975644424509729,-0.05641012967400938,0.3243730875194244,-0.6300319032181728,0.9049059501347392,0.2623742216297644,0.27000078899717117,0.3086617991502392,0.5693722806970274
S,50,50,12.46459751900321,0.0047713131285932915,12.464701542169806,12.462509464493946,12.468785353606187,12.449298483032724,12.473407004899409,-0.7188300169540303,0.9956044013766965,0.36212111193024776,0.09358212528709767
S,100,50,12.461433021582366,0.005390361818764572,12.462169079155487,12.458624702750145,12.46529094272457,12.440377586913415,12.468932069032483,-1.2793096058075473,3.3773221857222566,0.4013053803885236,0.0016988699251581382
S,250,50,12.450516158822236,0.007809550945895981,12.451576848277494,12.446816561155696,12.456634431541008,12.43124923091545,12.461834865516863,-0.7846076978707786,0.0004006921354791082,0.5059498938275049,0.01157462666198922
S,500,50,12.310459849470167,0.05707657733829198,12.32574943845761,12.278989198931583,12.356816292573733,12.140757864294589,12.38595995566766,-0.9637178758769266,0.3519156494689648,0.5441174739369865,0.0010638707254551972
KL,50,50,3.607635877128926,0.0037097039589228933,3.607299303144745,3.6048869773651684,3.6097121593507295,3.6000927305118204,3.6189742463839103,0.7217270602097817,0.967695475074656,0.36555332377918265,0.11986098828953612
KL,100,50,3.6090316730546146,0.004811438983655705,3.608249141675548,3.605547349274863,3.611663678356498,3.60121631072987,3.629718231128577,1.6013573839923165,5.570272710163451,0.40674519091860123,0.0002413194711144773
KL,250,50,3.6060685646605988,0.004523630519878419,3.605842011433017,3.603235212119319,3.608845951298677,3.598989421042728,3.621533508584097,0.8269242459864689,1.4607635452610008,0.3618295449439257,0.0452120054221934
KL,500,50,3.5873984369299325,0.007429455991224149,3.5887831541818827,3.5830079479702297,3.59313191098593,3.5726325975046125,3.598719355140628,-0.4427306280882962,-0.8215837133845758,0.5043828171238688,0.02237263598095105
