sweep,thermo,learning,spearman_pooled_levels,spearman_within_seed_median,spearman_increments
500ep,E,KL,-0.15810598272951357,-0.15713794055176222,-0.12098367134655125
500ep,E,recon_sq,-0.3231191119182065,-0.3116824307297229,-0.4634120185361228
500ep,E,recon_ce,-0.2552005133995528,-0.2768616994467978,-0.17954906388062164
500ep,S,KL,0.4857293306633749,0.49221508886035537,-0.9025498221706358
500ep,S,recon_sq,0.9601658265349213,0.9707832431329724,0.6674788192666937
500ep,S,recon_ce,0.7481445325682953,0.7502910491641966,-0.8589784024177936
500ep,F,KL,-0.3195519135619071,-0.3203396013584054,-0.07793006356736865
500ep,F,recon_sq,-0.5359505688941288,-0.5345824103296413,-0.49241473739462877
500ep,F,recon_ce,-0.45102443587479113,-0.48450165000659995,-0.1378005835293222
500ep,F_data,KL,-0.2812221340568674,-0.2903744254977019,-0.041904133836003575
500ep,F_data,recon_sq,-0.5122295060207193,-0.51562574250297,-0.5081833802832544
500ep,F_data,recon_ce,-0.41666602239440964,-0.4517807831231325,-0.10186756973583688
5000ep,E,KL,0.9865575631790446,0.9931155210474956,-0.6494267504450686
5000ep,E,recon_sq,0.9906087245967757,0.9952108521241825,0.17150681533937503
5000ep,E,recon_ce,0.9907125770476664,0.995280548942914,-0.06830913830008534
5000ep,S,KL,0.9946452790874606,0.9962889421049828,-0.7261566829700431
5000ep,S,recon_sq,0.9983369474496515,0.9995879400466031,0.1695466226053894
5000ep,S,recon_ce,0.9982021497079642,0.9993441729485766,-0.1328615939955624
5000ep,F,KL,0.9484594723414804,0.9580507461478626,-0.5974715312147654
5000ep,F,recon_sq,0.9525330286494926,0.9601094307379994,0.17563525985329664
5000ep,F,recon_ce,0.9527038952932747,0.9601100607859955,-0.0448228405299117
5000ep,F_data,KL,0.9595854118523945,0.9687629871280417,-0.5179800877925714
5000ep,F_data,recon_sq,0.9631817887474422,0.9704091249711073,0.2079318667605647
5000ep,F_data,recon_ce,0.9633910293572883,0.9705187446875696,0.005813957374985913
