seed,window,F_final,slope_per_1000ep,drift_over_window,resid_std,KL_final,KL_min
1,1000,-61.77680704064774,-6.072511432660065,-6.072511432660065,0.22791106442411996,0.6465704584143411,0.6119320778786014
1,500,-61.77680704064774,-5.200180007243545,-2.6000900036217724,0.15727754926363627,0.6465704584143411,0.6119320778786014
2,1000,-53.69398731032084,-4.3883180617306214,-4.3883180617306214,0.28142446453682907,0.6442304872594516,0.6182438134198386
2,500,-53.69398731032084,-3.1533958262150277,-1.5766979131075138,0.213942583076238,0.6442304872594516,0.6182438134198386
3,1000,-55.73919214312874,-5.002975556099068,-5.002975556099068,0.18299691667489504,0.7352336051656536,0.6892966726370366
3,500,-55.73919214312874,-4.824693776923131,-2.4123468884615655,0.1766524232887499,0.7352336051656536,0.6892966726370366
4,1000,-52.64422457049351,-5.24129722718053,-5.24129722718053,0.18821545234770928,0.595975646181009,0.5939420745099342
4,500,-52.64422457049351,-4.44066485552369,-2.220332427761845,0.1377492945768953,0.595975646181009,0.5939420745099342
5,1000,-58.11654790418111,-5.83764251527643,-5.83764251527643,0.23838035119225284,0.893530911936604,0.8049254687973944
5,500,-58.11654790418111,-5.229408576272922,-2.614704288136461,0.18782812146158986,0.893530911936604,0.8049254687973944
6,1000,-54.81379336472022,-4.322660538904713,-4.322660538904713,0.2615669236358135,0.6623706453934608,0.5826925137950428
6,500,-54.81379336472022,-4.915537852568409,-2.4577689262842046,0.24311247966951657,0.6623706453934608,0.5826925137950428
7,1000,-57.81739862503484,-6.650674319043474,-6.650674319043474,0.2839689175101802,0.6854190722841597,0.627181919095122
7,500,-57.81739862503484,-8.030517554745982,-4.015258777372991,0.16860484067967568,0.6854190722841597,0.627181919095122
8,1000,-55.82196729412705,-5.572841328536166,-5.572841328536166,0.18457150989674373,0.6748107442442031,0.6318683091500981
8,500,-55.82196729412705,-6.516176715945577,-3.2580883579727886,0.11246895490331818,0.6748107442442031,0.6318683091500981
9,1000,-59.57471269331583,-4.628067552499162,-4.628067552499162,0.42126038172137803,0.6065891136174777,0.5493429623124789
9,500,-59.57471269331583,-4.586937511245996,-2.293468755622998,0.21780035589733965,0.6065891136174777,0.5493429623124789
10,1000,-57.60646069969938,-5.228316849768917,-5.228316849768917,0.3651627849299529,0.6965595094382154,0.5894273454099805
10,500,-57.60646069969938,-6.956909003527235,-3.4784545017636175,0.31454270029852804,0.6965595094382154,0.5894273454099805
