seed,F_first,F_min,epoch_of_min,F_final,F_max,epoch_of_max,gap
1,-25.064473179432763,-61.77680704064774,5000,-61.77680704064774,-22.729108922494586,903,0.0
2,-24.94457859489702,-53.78711342726841,4957,-53.69398731032084,-22.98841725408652,904,0.09312611694756612
3,-25.43143409958382,-55.73919214312874,5000,-55.73919214312874,-22.701838452561407,891,0.0
4,-25.04851868536747,-52.66150695507966,4998,-52.64422457049351,-22.50479483018609,1054,0.017282384586145838
5,-25.04481705946664,-58.11654790418111,5000,-58.11654790418111,-22.778367752208904,828,0.0
6,-25.293324440771475,-54.81379336472022,5000,-54.81379336472022,-22.582460966529837,1096,0.0
7,-25.060344177976543,-57.88290367718478,4991,-57.81739862503484,-22.649293121731606,928,0.06550505214993763
8,-25.133330100788047,-55.83227235620246,4999,-55.82196729412705,-22.77826719319136,1065,0.010305062075410376
9,-25.00525814191047,-59.77912666236523,4981,-59.57471269331583,-22.923898004891203,985,0.2044139690493978
10,-25.28305360639148,-57.71291445153956,4976,-57.60646069969938,-23.015476646005027,1038,0.1064537518401778
